time,open,high,low,close,Volume
1733292000,96500.0,96509.6,96499.9,96509.6,1.18785027
1733292060,96509.5,96581.7,96509.5,96581.7,0.18308754
1733292120,96581.7,96587.0,96581.6,96586.9,0.39034168
1733292180,96586.9,96587.0,96586.9,96586.9,0.00700184
1733292240,96587.0,96587.0,96539.6,96539.6,0.61745988
1733292300,96539.5,96539.5,96480.9,96480.9,0.6716941
1733292360,96480.8,96480.9,96480.8,96480.8,0.01927194
1733292420,96480.8,96480.9,96447.0,96447.0,0.01392102
1733292480,96447.1,96447.1,96444.0,96444.0,0.38697032
1733292540,96444.0,96444.1,96444.0,96444.0,0.05138245
1733292600,96444.0,96444.1,96444.0,96444.0,0.00149878
1733292660,96444.1,96444.1,96444.0,96444.0,0.44776492
1733292720,96444.0,96444.1,96444.0,96444.0,1.15871941
1733292780,96444.1,96444.1,96444.0,96444.0,0.51708203
1733292840,96444.0,96444.1,96444.0,96444.0,9.70967753
1733292900,96444.1,96444.1,96444.0,96444.0,0.19665666
1733292960,96444.0,96444.0,96444.0,96444.0,1.33134779
1733293020,96444.1,96444.1,96444.1,96444.1,0.00017989
1733293080,96444.1,96463.4,96444.0,96463.3,1.60938158
1733293140,96463.4,96480.9,96463.4,96480.9,0.01261136
1733293200,96488.0,96533.7,96488.0,96533.7,0.02384327
1733293260,96533.7,96533.7,96533.6,96533.7,0.19819167
1733293320,96533.7,96533.7,96444.2,96445.3,0.04354034
1733293380,96445.3,96514.3,96445.3,96514.3,0.97014476
1733293440,96514.3,96514.3,96514.3,96514.3,0.00657042
1733293500,96514.3,96514.3,96514.2,96514.2,0.05730442
1733293560,96514.3,96548.5,96514.2,96548.5,0.32738575
1733293620,96548.5,96548.5,96548.4,96548.5,0.1298345
1733293680,96548.4,96604.8,96548.4,96604.7,1.21822152
1733293740,96604.8,96674.2,96604.8,96674.2,2.50273916
1733293800,96674.3,96688.0,96674.3,96688.0,0.11112142
1733293860,96687.9,96699.9,96687.9,96699.8,0.1372502
1733293920,96699.9,96700.0,96699.8,96700.0,0.15141143
1733293980,96700.0,96721.3,96700.0,96721.3,0.05556142
1733294040,96721.3,96721.3,96717.0,96717.0,4.06392299
1733294100,96717.1,96717.1,96717.0,96717.0,0.00704936
1733294160,96717.1,96717.1,96717.0,96717.0,0.03470917
1733294220,96717.0,96717.1,96717.0,96717.0,0.01167764
1733294280,96717.0,96717.0,96716.4,96716.4,0.01004561
1733294340,96716.4,96716.4,96682.4,96682.4,0.63461674
1733294400,96682.4,96682.4,96578.7,96578.7,0.14600871
1733294460,96578.7,96584.0,96578.7,96583.9,0.31325188
1733294520,96584.0,96588.3,96584.0,96588.3,0.01795397
1733294580,96588.3,96643.0,96588.3,96625.6,0.38462431
1733294640,96625.5,96666.0,96625.5,96665.9,0.07626879
1733294700,96666.0,96666.0,96665.9,96666.0,0.06662705
1733294760,96666.0,96666.0,96665.9,96665.9,0.02421794
1733294820,96660.9,96665.9,96620.2,96657.1,0.29458985
1733294880,96657.2,96657.2,96657.0,96657.1,0.25411234
1733294940,96657.0,96657.1,96657.0,96657.0,0.06896153
1733295000,96657.1,96695.0,96657.0,96695.0,0.25907332
1733295060,96695.0,96695.0,96679.7,96694.9,0.78784715
1733295120,96694.9,96694.9,96622.9,96626.3,0.30101652
1733295180,96626.4,96654.5,96626.4,96654.5,0.00606202
1733295240,96654.5,96654.5,96654.0,96654.1,1.09151976
1733295300,96654.1,96654.1,96654.0,96654.1,0.31191599
1733295360,96654.0,96654.0,96617.9,96618.0,0.05406724
1733295420,96618.0,96618.0,96576.8,96576.9,0.07033773
1733295480,96576.9,96576.9,96576.8,96576.9,0.0772015
1733295540,96576.9,96576.9,96576.8,96576.8,0.03010724
1733295600,96576.9,96576.9,96576.8,96576.9,0.00262871
1733295660,96576.9,96630.8,96576.9,96630.7,0.27876951
1733295720,96630.7,96630.8,96625.7,96625.7,0.00907433
1733295780,96576.9,96576.9,96543.4,96543.4,0.05455571
1733295840,96543.4,96543.5,96540.0,96540.0,0.07633456
1733295900,96540.1,96540.2,96540.1,96540.2,1.23757029
1733295960,96540.3,96540.3,96540.2,96540.3,0.00903243
1733296020,96540.1,96540.1,96540.0,96540.1,0.08218387
1733296080,96540.1,96540.1,96538.4,96538.4,0.04831979
1733296140,96535.2,96535.3,96535.1,96535.1,0.27153527
1733296200,96535.2,96538.3,96527.0,96535.1,0.24538868
1733296260,96528.4,96528.4,96528.4,96528.4,0.02236748
1733296320,96528.5,96528.5,96528.4,96528.5,0.01033487
1733296380,96528.5,96528.5,96528.4,96528.4,0.113514
1733296440,96528.5,96528.5,96500.0,96528.4,0.10677378
1733296500,96528.3,96528.4,96528.1,96528.1,0.22824063
1733296560,96528.1,96528.1,96500.0,96500.1,0.25660239
1733296620,96500.0,96528.1,96500.0,96528.0,0.01946211
1733296680,96528.1,96528.1,96528.0,96528.1,0.33142233
1733296740,96528.0,96600.0,96528.0,96600.0,2.93711312
1733296800,96600.0,96600.0,96599.9,96600.0,0.03043928
1733296860,96599.9,96600.0,96559.0,96559.1,1.07123341
1733296920,96559.0,96559.0,96518.5,96528.5,0.04515767
1733296980,96528.5,96559.0,96528.5,96559.0,0.11904007
1733297040,96559.0,96559.0,96553.0,96558.9,0.40814946
1733297100,96558.9,96558.9,96558.8,96558.9,0.04615724
1733297160,96558.9,96558.9,96558.8,96558.8,0.00381482
1733297220,96558.8,96558.8,96558.8,96558.8,0.0088401
1733297280,96558.9,96558.9,96558.8,96558.8,0.08760537
1733297340,96558.9,96558.9,96558.8,96558.9,0.05361933
1733297400,96558.9,96558.9,96558.8,96558.8,1.0359793
1733297460,96558.8,96558.9,96558.8,96558.9,0.17274066
1733297520,96558.8,96600.0,96558.8,96600.0,1.43113729
1733297580,96630.3,96679.9,96630.3,96679.9,0.41659257
1733297640,96679.9,96679.9,96679.8,96679.8,0.15066609
1733297700,96679.9,96679.9,96679.8,96679.8,0.04422124
1733297760,96679.9,96679.9,96618.0,96632.6,0.04945247
1733297820,96676.3,96679.9,96650.3,96679.9,0.02168257
1733297880,96679.9,96679.9,96679.8,96679.9,0.04674868
1733297940,96679.9,96679.9,96679.8,96679.9,0.232225
